"A","B","A->B","B->A"
"Diagnostics and Clinical Procedures I","clinical diagnostics","True","False"
"Diagnostic Assessment","clinical diagnostics","True","False"
"Diagnostics and Clinical Procedures II","clinical diagnostics","True","False"
"Clinical Assessment and Diagnosis","clinical diagnostics","True","False"
"Clinical Diagnostic Methods II","clinical diagnostics","True","False"
"Diagnostic Clinic","clinical diagnostics","True","False"
"Diagnostic Tests I","clinical diagnostics","True","False"
"Diagnostic Aspects","clinical diagnostics","True","False"
"Diagnostic Testing","clinical diagnostics","True","False"
"Clinical Diagnostic Methods III","clinical diagnostics","True","False"
"Clinical Procedures and Diagnostic Testing I","clinical diagnostics","True","False"
"Introduction to Landscape Archaeology and Cultural Landscapes","Landscape Archaeology","True","False"
"Archaeology of Cultural Landscapes","Landscape Archaeology","True","False"
"Landscape History and Interpretation","Landscape Archaeology","True","False"
"Exploring Archaeology","Landscape Archaeology","False","False"
"Mapping Archaeology","Landscape Archaeology","True","False"
"Archaeology","Landscape Archaeology","False","True"
"Regional Archaeology","Landscape Archaeology","True","False"
"Paleoecology and Landscape History","Landscape Archaeology","True","False"
"Field Archaeology","Landscape Archaeology","True","False"
"Contemporary Archaeology","Landscape Archaeology","True","False"
"Archaeology Fieldwork","Landscape Archaeology","True","False"
"Current Archaeology","Landscape Archaeology","True","False"
"Historical Geography and Archaeology","Landscape Archaeology","True","False"
"Archaeology and Environment","Landscape Archaeology","True","False"
"Historic Archaeology","Landscape Archaeology","True","False"
"Archaeology Field Project","Landscape Archaeology","True","False"
"Historical Archaeology","Landscape Archaeology","True","False"
"Landscape Design History","Landscape Archaeology","False","False"
"Landscape and Culture","Landscape Archaeology","True","False"
"Reading the Landscape: Anthropology, Geography, History","Landscape Archaeology","True","False"
"History of Landscape Architecture","Landscape Archaeology","False","False"
"History, Theory, and Criticism II: Landscape Architectural History","Landscape Archaeology","False","False"
"Discovering Archaeology","Landscape Archaeology","False","False"
"Landscape","Landscape Archaeology","False","True"
"Introduction to the History of Landscape Architecture","Landscape Archaeology","False","False"
"Intro to Indigenous Studies","Aboriginal Studies","True","False"
"Indigenous Studies Theories and Methods","Aboriginal Studies","True","False"
"Native and Indigenous Peoples Studies","Aboriginal Studies","True","False"
"Indigenous History","Aboriginal Studies","True","False"
"Native American and Indigenous Studies","Aboriginal Studies","True","False"
"Introduction to Race, Ethnic and Indigenous Studies","Aboriginal Studies","True","False"
"Aboriginal Peoples","Aboriginal Studies","True","True"
"Indigenous Research Methods","Aboriginal Studies","True","False"
"Indigenous Culture, Literature, and History","Aboriginal Studies","True","False"
"Introduction to Native American and Indigenous Studies","Aboriginal Studies","True","False"
"Introduction to Native American/Indigenous Studies","Aboriginal Studies","True","False"
"Indigenous Cultures","Aboriginal Studies","True","False"
"Indigenous Research Methodologies","Aboriginal Studies","True","False"
"The History of Indigenous Peoples","Aboriginal Studies","True","False"
"Indigenous Anthropology","Aboriginal Studies","True","False"
"Native American Studies","Aboriginal Studies","True","False"
"Topics in Native American and Indigenous Studies","Aboriginal Studies","True","False"
"Indigenous Sociology","Aboriginal Studies","True","False"
"Indigenous Literature","Aboriginal Studies","True","False"
"Indigenous Literatures","Aboriginal Studies","True","False"
"Indigenous Knowledges and the Sciences","Aboriginal Studies","True","False"
"Indigenous Studies I: Indigenous Spiritualities","Aboriginal Studies","True","False"
"Indigenous Education","Aboriginal Studies","True","False"
"Indigenous Ecologies","Aboriginal Studies","True","False"
"American Indian and Indigenous Studies Minor","Aboriginal Studies","True","False"
"Administrative and Government Law","Administrative Law","True","False"
"Administrative Law and Government","Administrative Law","True","False"
"Administrative Law (*)","Administrative Law","True","True"
"Administrative Law in Public Administration","Administrative Law","True","False"
"Administrative Law (3)","Administrative Law","True","True"
"Administrative Law and Procedure","Administrative Law","True","False"
"Administrative Law and Procedures","Administrative Law","True","False"
"Administrative Law and Policy","Administrative Law","True","False"
"Administration Law","Administrative Law","True","True"
"Administrative Law and Politics","Administrative Law","True","False"
"Administrative Law and Process","Administrative Law","True","False"
"Public and Administrative Law","Administrative Law","True","False"
"Law in the Administrative Process","Administrative Law","True","False"
"Law and Administrative Practice","Administrative Law","True","False"
"Administrative Agency Law","Administrative Law","True","False"
"ADMINISTRATIVE LAW and JUSTICE","Administrative Law","True","False"
"Legislation and Administrative Law","Administrative Law","True","False"
"Administrative Law and Regulation","Administrative Law","True","False"
"Public Administration and Administrative Law","Administrative Law","True","False"
"Administrative Law and Ethics","Administrative Law","True","False"
"Administrative Law and Government Procedures","Administrative Law","True","False"
"Administrative Law and Bureaucracy","Administrative Law","True","False"
"Administrative Law and Public Policy","Administrative Law","True","False"
"Administrative and Regulatory Law","Administrative Law","True","False"
"Constitutional and Administrative Law","Administrative Law","True","False"
"Developing Leadership","Leadership Development","True","False"
"Leadership and Leadership Development","Leadership Development","True","True"
"Leadership Development and Organizations","Leadership Development","True","False"
"Leadership Development Studies","Leadership Development","True","False"
"Leader and Leadership Development","Leadership Development","True","True"
"Leadership and Development","Leadership Development","True","True"
"Leadership Development in Organizations","Leadership Development","True","False"
"Leadership Development I","Leadership Development","True","False"
"Organizational Leadership Development","Leadership Development","True","False"
"Management and Leadership Development","Leadership Development","True","False"
"Leader Development","Leadership Development","True","False"
"Leadership Development and Practice","Leadership Development","True","False"
"Leadership Development in Practice","Leadership Development","True","False"
"Human Leadership Development","Leadership Development","True","False"
"Introduction to Leadership Development","Leadership Development","True","False"
"Leadership Development 1","Leadership Development","True","False"
"Leadership Personnel Development","Leadership Development","True","False"
"Developing Your Leadership","Leadership Development","True","False"
"Development for Leaders","Leadership Development","True","False"
"Leadership and Organization Development","Leadership Development","True","False"
"Leadership and Management Development","Leadership Development","True","False"
"Leadership and Organizational Development","Leadership Development","True","False"
"Individual Leadership Development","Leadership Development","True","False"
"Leadership Development IV","Leadership Development","True","False"
"Leadership Development in Theory","Leadership Development","True","False"
"Adaptation","Adaptation Studies","True","True"
"Adaptation: Theories and Evidence","Adaptation Studies","True","False"
"Human Adaptation","Adaptation Studies","True","False"
"Movement and Adaptation","Adaptation Studies","True","False"
"Adaptations","Adaptation Studies","True","True"
"Adaptation: One Medium to Another","Adaptation Studies","True","False"
"The Art of Adaptation","Adaptation Studies","True","False"
"Assessment and Adaptation","Adaptation Studies","True","False"
"Human Adaptation and Variation","Adaptation Studies","True","False"
"Ecology and Adaptation","Adaptation Studies","True","False"
"Children and Adaptation","Adaptation Studies","True","False"
"Literature in Adaptation","Adaptation Studies","True","False"
"Environmental Adaptation","Adaptation Studies","True","False"
"Human Variation and Adaptation","Adaptation Studies","True","False"
"Art of the Adaptation","Adaptation Studies","True","False"
"Culture and Adaptation","Adaptation Studies","True","False"
"Human Physiology and Adaptation","Adaptation Studies","True","False"
"PSYCHOLOGY OF ADJUSTMENT and ADAPTATION","Adaptation Studies","True","False"
"Adaptation and Human Variability","Adaptation Studies","True","False"
"Human Ecology and Adaptation","Adaptation Studies","True","False"
"Human Ecological Adaptation","Adaptation Studies","True","False"
"Cross-Cultural Adaptation","Adaptation Studies","True","False"
"Occupation and Adaptation","Adaptation Studies","True","False"
"Human Variability and Adaptation Honors","Adaptation Studies","True","False"
"Psychosocial Adaptation","Adaptation Studies","True","False"
"Fundamentals of Biomanufacturing","Biomanufacturing","True","False"
"Advanced Biomanufacturing","Biomanufacturing","True","False"
"Biotech Experience/Biomanufacturing","Biomanufacturing","True","False"
"Micromanufacturing","Biomanufacturing","False","False"
"Cell Culture Biomanufacturing","Biomanufacturing","True","False"
"Quality Assurance and Validation for Biomanufacturing","Biomanufacturing","True","False"
"Micromanufacturing Processes","Biomanufacturing","False","False"
"Quality Assurance and Validation for Biomanufacturing (2-0-2)","Biomanufacturing","True","False"
"Intro to Biotech Manufacturing","Biomanufacturing","True","False"
"Regulatory Compliance in Biomanufacturing","Biomanufacturing","True","False"
"Bioengineering and Bioprocessing","Biomanufacturing","True","False"
"Regulatory Compliance in Biomanufacturing (3-0-3)","Biomanufacturing","True","False"
"Bioengineering Lab","Biomanufacturing","True","False"
"Bioengineering","Biomanufacturing","True","False"
"Biopharm Commercialization","Biomanufacturing","True","False"
"Tech of Bioenergy Production","Biomanufacturing","False","False"
"Biotechniques","Biomanufacturing","True","False"
"Advanced Biotechniques (Lecture)","Biomanufacturing","True","False"
"Special Topics in Biotech","Biomanufacturing","True","False"
"Environmental Biotechnologies","Biomanufacturing","True","False"
"Bioprocessing","Biomanufacturing","True","False"
"Biotechnological Processes","Biomanufacturing","True","False"
"BioMEMS and Tissue Engineering","Biomanufacturing","True","False"
"Bioengineering and Biotechnology","Biomanufacturing","True","False"
"Essentials of Biotechniques I","Biomanufacturing","True","False"
"Algebra (Mathematics)","Algebra","True","True"
"Algebra I","Algebra","True","False"
"Basic Algebra","Algebra","True","False"
"Algebra A","Algebra","True","False"
"Algebra 2","Algebra","True","False"
"Elementary Algebra","Algebra","True","False"
"Algebra 1","Algebra","True","False"
"Algebra -A","Algebra","True","False"
"Algebra II","Algebra","True","False"
"Advanced Algebra","Algebra","True","False"
"College Algebra","Algebra","True","False"
"Algebra 1A","Algebra","True","False"
"Basic Algebra I","Algebra","True","False"
"Algebra B","Algebra","True","False"
"Algebra 1B","Algebra","True","False"
"College Algebra I","Algebra","True","False"
"Algebra 2A","Algebra","True","False"
"Applied Algebra","Algebra","True","False"
"Algebra 2B","Algebra","True","False"
"Algebra in School Mathematics","Algebra","True","False"
"World of Math:Algebra","Algebra","True","False"
"College Algebra A","Algebra","True","False"
"Algebra Express","Algebra","True","False"
"Algebra for College","Algebra","True","False"
"College Algebra-S","Algebra","True","False"
"Media Organizations","Media Club","True","False"
"Media Agency","Media Club","True","False"
"New Media Society","Media Club","True","False"
"Community Media","Media Club","True","False"
"Media Business","Media Club","True","False"
"The Media Industry","Media Club","True","False"
"Media Marketing","Media Club","True","False"
"Corporate Media","Media Club","True","False"
"Media","Media Club","False","True"
"Media Industries","Media Club","True","False"
"Media Organization and Management","Media Club","True","False"
"Entertainment Media","Media Club","True","False"
"Media Fellows Colloquium","Media Club","True","False"
"Media Entrepreneur","Media Club","True","False"
"Media Entertainment","Media Club","True","False"
"Media Communications I","Media Club","True","False"
"Mediaculture","Media Club","True","False"
"Journal Club","Media Club","False","False"
"Media Sociology","Media Club","True","False"
"Communications Media","Media Club","True","False"
"Intro to New Media Society","Media Club","True","False"
"Business of Media","Media Club","True","False"
"Media Audiences","Media Club","True","False"
"Media Management","Media Club","True","False"
"Media Culture","Media Club","True","False"
"Public Health and Informatics","Public Health Informatics","True","True"
"Public Health Informatics and Technology","Public Health Informatics","True","False"
"Foundation of Public Health Informatics","Public Health Informatics","True","False"
"Medical and Public Health Informatics","Public Health Informatics","True","False"
"Principles of Public Health Informatics","Public Health Informatics","True","False"
"Foundations in Public Health Informatics","Public Health Informatics","True","False"
"Introduction to Informatics for Public Health","Public Health Informatics","True","False"
"Public Health Informatics and Communication","Public Health Informatics","True","False"
"Health Informatics","Public Health Informatics","False","True"
"Population and Public Health Informatics","Public Health Informatics","True","False"
"Public Health Informatics: The Role of Data","Public Health Informatics","True","False"
"Public Policy for Health Informatics","Public Health Informatics","True","False"
"Health Informatics Today","Public Health Informatics","False","False"
"Health Science Informatics","Public Health Informatics","False","False"
"Health Systems Informatics","Public Health Informatics","False","False"
"Population Health Informatics: Systematic Application to Public Health","Public Health Informatics","True","False"
"Informatics for Patient Care, Public Health, and Epidemiology","Public Health Informatics","True","False"
"Health Informatics Systems","Public Health Informatics","False","False"
"Health Informatics Research","Public Health Informatics","False","False"
"Introduction to Public Health Informatics, Health Communication and Consumer Informatics","Public Health Informatics","True","False"
"Health Informatics and Technology","Public Health Informatics","False","True"
"Population Health Informatics","Public Health Informatics","True","False"
"Informatics for the Health Sciences","Public Health Informatics","True","False"
"Informatics for Health Professionals","Public Health Informatics","True","False"
"Perspectives on Health Informatics","Public Health Informatics","False","False"
"Evidence-Informed Clinical Practice in Acupuncture","acupuncture","True","False"
"Acupuncture for Musculoskeletal and Sports Injuries","acupuncture","True","False"
"Of Acupuncture, Medicine Men and Ayurveda: Indigenous and Non-Western Medicine in Perspective","acupuncture","True","False"
"Homeopathy for Acupuncturists","acupuncture","True","False"
"Spec Topics Occup Therapy I","acupuncture","False","False"
"Spec Topics Occup Therapy II","acupuncture","False","False"
"Spec Topics Occup Therapy III","acupuncture","False","False"
"Neuroscience for Occup Therapy","acupuncture","False","False"
"Occup Therapy Work Env","acupuncture","False","False"
"Found of Occup Therapy","acupuncture","False","False"
"Ovrview Occup Therapy Practice","acupuncture","False","False"
"Yoga Therapy","acupuncture","False","False"
"Complementary and Alternative Therapy","acupuncture","True","False"
"Complementary Therapies","acupuncture","True","False"
"Complementary Health Therapies","acupuncture","True","False"
"Therapeutic Massage","acupuncture","False","False"
"Exploring Complementary Therapies","acupuncture","True","False"
"Complementary and Alternative Therapies","acupuncture","True","False"
"Complementary Therapy and Wellness","acupuncture","True","False"
"Complementary Therapies for Health, Wellness and Cognition","acupuncture","True","False"
"Meditation","Buddhist Meditation","True","True"
"Meditation: Psychological and Buddhist Perspectives","Buddhist Meditation","True","False"
"Meditation Practice","Buddhist Meditation","True","False"
"Yoga Meditation","Buddhist Meditation","True","False"
"Mindfulness Meditation","Buddhist Meditation","True","False"
"Meditation and Yoga","Buddhist Meditation","True","False"
"Buddhism: Introduction to Meditation Practice","Buddhist Meditation","True","False"
"Buddhist Meditation: Cultivation Practices and Psychology","Buddhist Meditation","True","False"
"Yoga/Meditation","Buddhist Meditation","True","False"
"Yoga and Meditation","Buddhist Meditation","True","False"
"Meditation I","Buddhist Meditation","True","False"
"Introduction to Meditation","Buddhist Meditation","True","False"
"Psychology of Meditation","Buddhist Meditation","True","False"
"Meditation and Mindfulness","Buddhist Meditation","True","False"
"The Psychology of Meditation","Buddhist Meditation","True","False"
"Intro to Meditation","Buddhist Meditation","True","False"
"Meditation and Mystical Experience","Buddhist Meditation","True","False"
"Introduction to Buddhism: Mind and Meditation","Buddhist Meditation","True","False"
"Meditation for Health and Wellness","Buddhist Meditation","True","False"
"MEDITATION: THEORY and PRACTICE","Buddhist Meditation","True","False"
"Buddhist Thought and Practice","Buddhist Meditation","True","False"
"Asian Meditation Practices","Buddhist Meditation","True","False"
"The Art of Yoga and Meditation","Buddhist Meditation","True","False"
"Mindfulness and Meditation","Buddhist Meditation","True","False"
"Meditation and Mindfulness Practices","Buddhist Meditation","True","False"
"Body-Mind Centering","Body Mind Centering","True","True"
"Mind and Body Control","Body Mind Centering","True","False"
"The Body Mind Connection","Body Mind Centering","True","False"
"Mind-Body Conditioning","Body Mind Centering","True","False"
"Mind-Body Connection","Body Mind Centering","True","True"
"Mind-Body Therapies and Practices","Body Mind Centering","True","False"
"Mind-Body Fitness","Body Mind Centering","True","False"
"Science of the Mind-Body Connection","Body Mind Centering","True","False"
"Mind/Body Techniques","Body Mind Centering","True","False"
"BIOCOG: The MindBody Problem","Body Mind Centering","True","False"
"Yoga: Union of Mind and Body","Body Mind Centering","True","False"
"Body-Mind Literacy","Body Mind Centering","True","False"
"Mind-Body in Health and Wellness","Body Mind Centering","True","False"
"Keeping It in Check: Body and Mind","Body Mind Centering","True","False"
"Body Awareness","Body Mind Centering","True","False"
"Psychology of Mind and Body","Body Mind Centering","True","False"
"Thinking Bodies","Body Mind Centering","True","False"
"Body/Mind","Body Mind Centering","True","True"
"Mind/Body Health","Body Mind Centering","True","False"
"Body-Mind Awareness, Breath and Movement","Body Mind Centering","True","False"
"Psychology of Mind/Body","Body Mind Centering","True","False"
"Training the Body and Mind","Body Mind Centering","True","False"
"The MindBody Problem","Body Mind Centering","True","False"
"The Healthy Mind and Body","Body Mind Centering","True","False"
"Mind Body Wellness","Body Mind Centering","True","False"
"Art Therapy: An Introduction","Art Therapy And Mental Health","True","False"
"Art Therapy","Art Therapy And Mental Health","True","True"
"Art Therapy Practices","Art Therapy And Mental Health","True","False"
"Art and Therapy","Art Therapy And Mental Health","True","True"
"Art Therapy in Practice","Art Therapy And Mental Health","True","False"
"Art Therapy Research","Art Therapy And Mental Health","True","False"
"Art as Therapy","Art Therapy And Mental Health","True","False"
"Art Therapy: The People, Places, and Practices of Art Therapy","Art Therapy And Mental Health","True","False"
"Research in Art Therapy","Art Therapy And Mental Health","True","False"
"Introduction to Art Therapy Research","Art Therapy And Mental Health","True","False"
"Introduction to Art Therapy","Art Therapy And Mental Health","True","False"
"Art Therapy Theory and Practice","Art Therapy And Mental Health","True","False"
"Art Therapy in Counseling","Art Therapy And Mental Health","True","False"
"Art Therapy Fundamentals","Art Therapy And Mental Health","True","False"
"An Overview of Art Therapy","Art Therapy And Mental Health","True","False"
"Art Therapy in Diverse Settings","Art Therapy And Mental Health","True","False"
"Foundations of Art Therapy","Art Therapy And Mental Health","True","False"
"Art Therapy: Theory and Practice (Art Therapy)","Art Therapy And Mental Health","True","False"
"Art Therapy: Applications and Techniques","Art Therapy And Mental Health","True","False"
"Theory and Practice of Art Therapy","Art Therapy And Mental Health","True","False"
"Art Therapy Techniques","Art Therapy And Mental Health","True","False"
"Experience and Research in Art Therapy","Art Therapy And Mental Health","True","False"
"Art Therapy Theory and Applications","Art Therapy And Mental Health","True","False"
"Art Therapy Methods","Art Therapy And Mental Health","True","False"
"Special Topics in Art Therapy","Art Therapy And Mental Health","True","False"
"Combat in Film","Combat","True","False"
"Combative Ii","Combat","True","False"
"Violence and Warfare","Combat","True","False"
"Combat for the Actor","Combat","True","False"
"Combat for the Stage","Combat","True","False"
"Medieval Warfare","Combat","True","False"
"Stage Combat I","Combat","True","False"
"A History of Military Warfare","Combat","True","False"
"Warfare and Society","Combat","True","False"
"Stage Combat","Combat","True","True"
"Warfighting Functions","Combat","True","False"
"AHistory of Military Warfare","Combat","True","False"
"Cyber Warfare","Combat","True","False"
"Modern Warfare","Combat","True","False"
"Theory and Analysis of Combative Activities","Combat","True","False"
"Cardio Combat","Combat","True","False"
"Beginning Combatives","Combat","True","False"
"Warfare and Violent Conflict","Combat","True","False"
"Military Tactics","Combat","True","False"
"Introduction to Fight Direction","Combat","True","False"
"Stage Combat -A","Combat","True","False"
"War (B)","Combat","True","False"
"Warfare in the Western World","Combat","True","False"
"The History of Warfare","Combat","True","False"
"Stage Combat: Armed","Combat","True","False"
"Health Care Operations","Healthcare Operations","True","True"
"Healthcare Operation","Healthcare Operations","True","True"
"Healthcare Service Operations","Healthcare Operations","True","False"
"Healthcare Systems and Operations","Healthcare Operations","True","False"
"Healthcare Operations Management","Healthcare Operations","True","False"
"Healthcare Management and Operations","Healthcare Operations","True","False"
"Healthcare Management Operations","Healthcare Operations","True","False"
"HealthCare Organizations and Operations","Healthcare Operations","True","False"
"Health Care Systems and Operations","Healthcare Operations","True","False"
"Healthcare Operations Analysis","Healthcare Operations","True","False"
"Health Care Operations and Administration","Healthcare Operations","True","False"
"Healthcare Facilities Operations","Healthcare Operations","True","False"
"Healthcare Operation Management","Healthcare Operations","True","False"
"Health Care Operations Management","Healthcare Operations","True","False"
"Healthcare Operations MGMT","Healthcare Operations","True","False"
"Healthcare Introduction to Operations","Healthcare Operations","True","False"
"Health Care Organization Operations","Healthcare Operations","True","False"
"Health Operations Management","Healthcare Operations","True","False"
"Healthcare Operations and Economics","Healthcare Operations","True","False"
"Operations Management in Health Care","Healthcare Operations","True","False"
"Health Care Business Operations","Healthcare Operations","True","False"
"Operations Management for Health Administration","Healthcare Operations","True","False"
"Managing Health Care Operations","Healthcare Operations","True","False"
"Operations Management in the Healthcare Sector","Healthcare Operations","True","False"
"Operations Management in Health Care Organizations","Healthcare Operations","True","False"
"Performance Measurement and Analysis","Performance Measurement","True","False"
"Performance Analysis and Measurement","Performance Measurement","True","True"
"Performance Metrics","Performance Measurement","True","False"
"Performance Measurement and Management","Performance Measurement","True","False"
"Performance Improvement Measurement and Methodologies","Performance Measurement","True","False"
"Performance Analysis","Performance Measurement","True","False"
"Measurement, Analysis, and Models for Performance Improvement","Performance Measurement","True","False"
"Introduction to Performance Measurement, Modeling and Analysis","Performance Measurement","True","False"
"Performance Monitoring and Evaluation","Performance Measurement","True","False"
"Performance Study","Performance Measurement","True","False"
"Systems Performance and Measurement","Performance Measurement","True","False"
"Performance Evaluation","Performance Measurement","True","False"
"Fundamentals of Performance","Performance Measurement","True","False"
"Performance","Performance Measurement","True","True"
"Performance Analytics","Performance Measurement","True","False"
"Performance Measurement and Program Evaluation","Performance Measurement","True","False"
"Performance Assessment","Performance Measurement","True","False"
"Fundamentals of Performance II","Performance Measurement","True","False"
"Performance Fundamentals","Performance Measurement","True","False"
"Performance and Analysis","Performance Measurement","True","False"
"Introduction to Performance","Performance Measurement","True","False"
"Performance Measurement and Control Systems Perspective","Performance Measurement","True","False"
"Fundamentals of Performance I","Performance Measurement","True","False"
"Performance Evaluation and Analysis","Performance Measurement","True","False"
"Methods of Performance Interpreting","Performance Measurement","True","False"
"Chinese Buddhist Philosophy","Buddhist Philosophy","True","False"
"Buddhism","Buddhist Philosophy","True","True"
"Buddhist Psychology","Buddhist Philosophy","True","False"
"Indian and Buddhist Philosophy","Buddhist Philosophy","True","False"
"Hist of Buddhist Philosophy","Buddhist Philosophy","True","False"
"The Philosophy of Zen Buddhism","Buddhist Philosophy","True","False"
"Buddhist Ethics","Buddhist Philosophy","True","False"
"Classical Buddhist and Hindu Philosophy","Buddhist Philosophy","True","False"
"Zen Buddhism","Buddhist Philosophy","True","False"
"Introduction to Buddhism","Buddhist Philosophy","True","False"
"Buddhisms","Buddhist Philosophy","True","True"
"History of Buddhist Philosophy","Buddhist Philosophy","True","False"
"The Study of Buddhism","Buddhist Philosophy","True","False"
"Foundations of Buddhism","Buddhist Philosophy","True","False"
"A Buddhist Life","Buddhist Philosophy","True","False"
"Contemporary Buddhism","Buddhist Philosophy","True","False"
"Indo-Tibetan Buddhist Philosophy","Buddhist Philosophy","True","False"
"Buddhism, Philosophy and Culture","Buddhist Philosophy","True","False"
"The Vision of Buddhism","Buddhist Philosophy","True","False"
"Chinese Buddhism","Buddhist Philosophy","True","False"
"An Introduction to Buddhism","Buddhist Philosophy","True","False"
"The Buddhist Tradition","Buddhist Philosophy","True","False"
"Zen and Buddhism","Buddhist Philosophy","True","False"
"Buddhist Thought and Practice","Buddhist Philosophy","True","False"
"Topics in Buddhist Thought","Buddhist Philosophy","True","False"
"Asian American Poetry","Asian Poetry","True","False"
"Classical East Asian Poetics","Asian Poetry","True","False"
"East Asian Buddhist Poetry","Asian Poetry","True","False"
"Topics in Literature-Asian American Poetry","Asian Poetry","True","False"
"Asian Literature","Asian Poetry","True","True"
"Asian Literatures","Asian Poetry","True","True"
"Contemporary Asian Literature","Asian Poetry","True","False"
"Asian American and Pacific Islander Poetry","Asian Poetry","True","False"
"Modern Asian Literature","Asian Poetry","True","False"
"Japanese Poetry","Asian Poetry","True","False"
"Introduction to Asian Literature","Asian Poetry","True","False"
"The Forms of Asian Literature","Asian Poetry","True","False"
"Contemp East Asian Literature","Asian Poetry","True","False"
"Chinese Literature: Poetry","Asian Poetry","True","False"
"Poetry of China and Japan (In English)","Asian Poetry","True","False"
"Introduction to Asian Literature (3)","Asian Poetry","True","False"
"Survey of Modern Asian Literature","Asian Poetry","True","False"
"South Asian Literature","Asian Poetry","True","False"
"Masterpieces of Asian Literature","Asian Poetry","True","False"
"Asian American Literature","Asian Poetry","True","False"
"Masterpieces of East Asian Literature","Asian Poetry","True","False"
"East Asian Literature in Translation","Asian Poetry","True","False"
"Global Asian Literature","Asian Poetry","True","False"
"Japanese Poetry and Poetics","Asian Poetry","True","False"
"Asian-American Literature","Asian Poetry","True","False"
"Climate Policy","Climate Change Policy","True","True"
"Climate Change Policy and Solutions","Climate Change Policy","True","False"
"CLIMATE CHANGE SCIENCE and POLICY","Climate Change Policy","True","False"
"Climate Change and Public Policy","Climate Change Policy","True","False"
"Climate Change Law and Policy","Climate Change Policy","True","False"
"Climate Science and Policy","Climate Change Policy","True","False"
"Climate Change: Science to Policy","Climate Change Policy","True","False"
"Policy Advocacy: Climate Change","Climate Change Policy","True","False"
"Climate Change Economics and Policy","Climate Change Policy","True","False"
"Environmental and Climate Policy","Climate Change Policy","True","False"
"Climate Change: From Puzzles to Policy","Climate Change Policy","True","False"
"Science and Policy of Climate Change","Climate Change Policy","True","False"
"Climate Change: Law and Policy","Climate Change Policy","True","False"
"Climate Change: Science and Policy","Climate Change Policy","True","False"
"Climate Change Policy and Environmental Security","Climate Change Policy","True","False"
"Introduction to Climate Policy","Climate Change Policy","True","False"
"Climate Change Adaptation Policy and Practice","Climate Change Policy","True","False"
"Advanced Climate Policy","Climate Change Policy","True","False"
"Climate Change: Policy, Adaptation, and Mitigation","Climate Change Policy","True","False"
"Climate Change, Adaptation, and Policy","Climate Change Policy","True","False"
"Climate Politics and Policy","Climate Change Policy","True","False"
"Climate Change","Climate Change Policy","False","True"
"Climate Change and the International Policy Framework","Climate Change Policy","True","False"
"Climate Change: From Puzzles to Policy--Laborator","Climate Change Policy","True","False"
"Economics and Policy of Climate Change","Climate Change Policy","True","False"
"Young Adolescent Development","Adolescent Development","True","False"
"Development of the Adolescent","Adolescent Development","True","False"
"Child-Adolescent Development","Adolescent Development","True","False"
"Early Adolescent Development","Adolescent Development","True","False"
"Child/Adolescent Development","Adolescent Development","True","False"
"The Developing Adolescent","Adolescent Development","True","False"
"Adolescent and Adult Development","Adolescent Development","True","False"
"Child and Young Adolescent Development","Adolescent Development","True","False"
"Child &Adolescent Development","Adolescent Development","True","False"
"Child and Adolescent Development","Adolescent Development","True","False"
"Development Adolescence","Adolescent Development","True","False"
"Development in Adolescence","Adolescent Development","True","False"
"Adolescent Development (3)","Adolescent Development","True","True"
"Adolescent Development and Psychology","Adolescent Development","True","False"
"Adolescent Growth/Development","Adolescent Development","True","False"
"Adolescent and Young Adult Development","Adolescent Development","True","False"
"Adolescent Growth and Development","Adolescent Development","True","False"
"Adolescent Development in School","Adolescent Development","True","False"
"Young Adolescent Growth and Development","Adolescent Development","True","False"
"Adolescent Development and Learning","Adolescent Development","True","False"
"Adolescent Development and Education","Adolescent Development","True","False"
"Development of the Child and Adolescent","Adolescent Development","True","False"
"Adolescent Development: 9 - 18","Adolescent Development","True","False"
"Developing Adolescence","Adolescent Development","True","False"
"Adolescent Development: From Puberty to Young Adulthood","Adolescent Development","True","False"
"American Public Affairs","public affairs","True","False"
"Administration of Public Affairs","public affairs","True","False"
"Law and Public Affairs","public affairs","True","False"
"Introduction to Public Affairs","public affairs","True","False"
"Reporting Public Affairs","public affairs","True","False"
"News and Public Affairs","public affairs","True","False"
"Public Administration","public affairs","True","False"
"Public Affairs Careers","public affairs","True","False"
"Public Affairs Reporting","public affairs","True","False"
"Public Affairs and Community Relations","public affairs","True","False"
"Reporting of Public Affairs","public affairs","True","False"
"Coverage of Public Affairs","public affairs","True","False"
"Ethics and Public Affairs","public affairs","True","False"
"Public Affairs Concepts and Theory","public affairs","True","False"
"Politics Public Administration","public affairs","True","False"
"Admin in Public Affairs","public affairs","True","False"
"Public Relations Agency","public affairs","False","False"
"Urban Affairs in Public Administration","public affairs","True","False"
"Public Relations Administration","public affairs","False","False"
"Topics in Public Affairs","public affairs","True","False"
"American Public Administration","public affairs","True","False"
"Practicum in Public Affairs","public affairs","True","False"
"Research in Public Affairs","public affairs","True","False"
"Public Administration and Public Service","public affairs","True","False"
"Public Administration I","public affairs","True","False"
"Quality Assurance I","Quality Assurance","True","False"
"Quality Assurance Systems","Quality Assurance","True","False"
"Quality Assurance Management","Quality Assurance","True","False"
"Quality Assurance and Quality Control","Quality Assurance","True","False"
"Introduction to Quality Assurance","Quality Assurance","True","False"
"Quality Control and Assurance","Quality Assurance","True","False"
"Quality Assurance Quality Control","Quality Assurance","True","False"
